feature,importance
mileage,0.7860074915327645
year,0.2517122662035781
vehicle_type_sedan,0.025069936514315928
condition_excellent,0.007189560014397833
seller_type_dealer,0.005454718166475203
condition_like new,0.004617312309346655
condition_good,0.0033739111394243348
model_F-150,0.0030763175879072735
make_Ford,0.0022950539122089885
vehicle_type_pickup,0.002206707542063069
condition_Used,0.002046663620146494
seller_type_owner,0.001058628382969462
has_issues_True,0.0008885145126612537
make_Nissan,0.0007269811002372118
make_Audi,0.0006756056041189006
make_toyota,0.0006675905618035216
make_Mercedes-Benz,0.00042433838805360223
make_Toyota,0.0003679497001411125
make_jeep,0.0001451164136250016
make_Kia,3.132786126405218e-05
model_Neon,2.18111724050285e-05
model_Fiesta S,0.0
model_F250,0.0
model_F150 XLT extended cab 4D 6 1/2 FT,0.0
model_F150,0.0
make_acura,0.0
model_Explorer,0.0
model_Escape,0.0
make_subaru,0.0
make_nissan,0.0
make_mercedes-benz,0.0
make_lexus,0.0
model_Durango,0.0
model_Defender 90,0.0
model_D5500,0.0
model_Cx-5,0.0
make_tesla,0.0
model_Malibu LT,0.0
model_MDX,0.0
model_M-Class 4MATIC 4dr ML 350,0.0
model_Liberty Limited Sport,0.0
model_Maxima,0.0
model_Lacrosse CXL,0.0
model_LC 500,0.0
model_Fusion,0.0
model_CHEROKEE LATITUDE 4x4,0.0
model_C-Class,0.0
model_C 300 four matic,0.0
model_Avalanche 1500 ltz 4x4,0.0
model_Acadia,0.0
model_GS 300,0.0
model_GL 450 4MATIC,0.0
model_Fusion Hybrid,0.0
model_Jetta,0.0
model_9-2X Aero AWD HATCHBACK,0.0
model_328i X-drive AWD Sedan,0.0
model_325i,0.0
make_volkswagen,0.0
make_bmw,0.0
make_Jeep,0.0
make_Jaguar,0.0
model_Mazda3,0.0
make_INFINITI,0.0
make_Hyundai,0.0
make_cadillac,0.0
make_chrysler,0.0
make_Honda,0.0
make_GMC,0.0
make_honda,0.0
make_Chrysler,0.0
make_JEEP,0.0
model_Corolla,0.0
model_Civic,0.0
